1 121.28
2 118.95
3 115.37
4 111.42
5 120.80
6 106.57
7 110.35
8 114.10
9 131.36
10 134.91
11 124.97
12 126.32
13 119.05
14 115.69
15 116.06
16 120.71
17 126.27
18 128.11
19 116.28
20 132.14
21 137.41
22 122.72
23 129.64
24 115.49
25 123.89
26 129.36
27 125.36
28 136.60
29 120.88
30 139.39
31 127.75
32 121.81
33 116.82
34 134.99
35 138.38
36 112.04
37 109.63
38 99.08
39 126.26
40 126.85
41 132.79
42 123.00
43 106.85
44 111.82
45 133.20
46 122.47
47 118.73
48 127.57
49 93.80
50 94.57
51 100.94
52 97.70
53 112.88
54 121.30
55 128.22
56 123.88
57 111.93
58 125.44
59 129.88
60 139.89
61 134.57
62 120.26
63 138.35
64 111.25
65 138.54
66 130.48
67 115.85
68 113.79
69 136.74
70 133.91
71 121.76
72 122.08
73 133.30
74 115.34
75 122.71
76 136.76
77 129.00
78 131.33
79 112.16
80 122.37
81 130.72
82 107.39
83 118.09
84 138.00
85 120.22
86 131.67
87 135.66
88 122.45
89 140.17
90 123.15
91 119.56
92 113.97
93 112.99
94 116.80
95 131.15
96 125.98
97 125.89
98 132.23
99 118.07
100 117.05
